time,tem,humi,pm25
2022-12-13 22:15:00,23.41,42.27,48.37
2022-12-13 22:45:00,22.38,43.17,38.29
2022-12-13 23:15:00,22.19,44.02,39.95
2022-12-14 00:45:00,21.53,48.36,29.66
2022-12-14 01:00:00,21.43,48.11,30.45
2022-12-14 01:15:00,21.52,47.19,26.76
2022-12-14 01:30:00,21.62,47.18,27.2
2022-12-14 01:45:00,21.36,47.31,29.93
2022-12-14 02:00:00,21.25,46.37,25.71
2022-12-14 02:15:00,21.21,44.03,23.36
2022-12-14 02:30:00,21.14,42.99,29.35
2022-12-14 02:45:00,21.15,43.37,28.03
2022-12-14 03:00:00,21.13,42.9,28.79
2022-12-14 03:30:00,21.04,42.04,22.05
2022-12-14 03:45:00,21.04,42.86,28.44
2022-12-14 04:00:00,20.98,43.33,25.37
2022-12-14 04:15:00,21.01,42.22,22.24
2022-12-14 04:30:00,20.91,41.71,22.46
2022-12-14 04:45:00,20.93,41.56,24.44
2022-12-14 05:00:00,20.92,41.4,27.93
2022-12-14 05:15:00,20.89,41.17,24.44
2022-12-14 05:45:00,20.79,40.81,26.47
2022-12-14 06:00:00,20.77,40.67,17.75
2022-12-14 06:15:00,20.8,40.6,23.29
2022-12-14 06:30:00,20.8,39.96,18.43
2022-12-14 06:45:00,20.79,38.67,16.14
2022-12-14 07:00:00,20.81,38.65,19.16
2022-12-14 11:30:00,21.85,32.2,29.66
2022-12-14 11:45:00,21.35,32.79,32.1
2022-12-14 12:00:00,21.21,32.71,31.86
2022-12-14 12:15:00,21.22,33.02,32.56
2022-12-14 12:45:00,22.4,33.0,41.82
2022-12-14 13:00:00,22.39,33.08,38.06
2022-12-14 13:45:00,23.05,31.9,21.85
2022-12-14 14:30:00,22.19,32.92,18.1
2022-12-14 15:15:00,21.97,33.75,23.8
2022-12-14 15:45:00,21.96,33.8,22.77
2022-12-14 16:00:00,21.95,33.71,34.7
2022-12-14 16:15:00,21.93,34.04,24.04
2022-12-14 16:30:00,21.89,33.53,24.33
2022-12-14 16:45:00,21.93,34.39,26.42
2022-12-14 17:00:00,21.82,34.44,37.12
2022-12-14 17:30:00,21.8,33.94,27.49
2022-12-14 18:15:00,22.35,35.84,27.01
2022-12-14 18:45:00,21.96,36.81,30.91
2022-12-14 19:00:00,21.84,38.14,26.59
2022-12-14 19:15:00,21.7,40.33,22.75
2022-12-14 19:30:00,21.64,38.46,30.25
2022-12-14 19:45:00,21.6,38.43,29.37
2022-12-14 20:00:00,21.57,38.52,25.27
2022-12-14 20:15:00,21.64,42.79,25.5
2022-12-14 20:30:00,21.66,44.37,25.21
2022-12-14 20:45:00,21.67,44.69,28.9
2022-12-14 21:00:00,21.73,46.48,29.58
2022-12-14 21:15:00,21.72,46.45,31.87
2022-12-14 21:45:00,21.53,46.9,37.03
2022-12-14 22:30:00,21.59,45.76,31.09
2022-12-14 23:15:00,21.53,42.57,31.6
2022-12-15 00:00:00,21.49,44.02,28.29
2022-12-15 00:30:00,21.48,46.43,30.54
2022-12-15 01:15:00,21.4,46.2,30.56
2022-12-15 02:00:00,21.28,45.72,41.52
2022-12-15 02:30:00,21.27,46.63,34.02
2022-12-15 02:45:00,21.3,46.54,38.18
2022-12-15 03:00:00,21.33,46.36,42.17
2022-12-15 03:15:00,21.36,46.19,32.61
2022-12-15 03:30:00,21.33,46.11,44.76
2022-12-15 03:45:00,21.23,46.41,40.06
2022-12-15 04:15:00,21.15,45.95,29.1
2022-12-15 04:30:00,21.1,46.1,42.89
2022-12-15 04:45:00,21.1,45.78,39.98
2022-12-15 05:00:00,21.05,45.52,43.86
2022-12-15 05:15:00,21.0,45.51,43.49
2022-12-15 05:30:00,20.97,44.77,46.6
2022-12-15 06:00:00,20.88,43.44,52.46
2022-12-15 06:15:00,20.83,42.64,37.87
2022-12-15 06:30:00,20.77,42.74,39.35
2022-12-15 06:45:00,20.83,46.34,43.75
2022-12-15 07:00:00,21.02,42.49,43.9
2022-12-15 07:15:00,20.62,41.77,34.08
2022-12-15 07:30:00,20.14,40.11,34.94
2022-12-15 07:45:00,19.95,41.33,18.74
2022-12-15 08:00:00,19.92,41.65,32.28
2022-12-15 08:15:00,20.08,41.85,18.72
2022-12-15 09:00:00,19.94,40.99,23.63
2022-12-15 09:30:00,20.03,40.16,17.47
2022-12-15 09:45:00,20.17,40.08,19.68
2022-12-15 10:00:00,20.36,39.34,23.22
2022-12-15 10:15:00,20.37,39.38,22.84
2022-12-15 10:30:00,20.38,39.2,25.74
2022-12-15 10:45:00,20.52,39.56,29.96
2022-12-15 11:15:00,20.55,37.74,17.51
2022-12-15 11:30:00,20.62,39.5,15.36
2022-12-15 11:45:00,20.74,40.34,24.84
2022-12-15 12:00:00,20.88,40.06,11.87
2022-12-15 12:30:00,21.25,45.22,14.39
2022-12-15 13:15:00,22.26,40.07,14.25
2022-12-15 13:30:00,22.06,40.7,9.17
2022-12-15 13:45:00,22.06,41.06,11.2
2022-12-15 14:00:00,22.09,40.9,12.88
2022-12-15 14:15:00,22.1,41.29,12.32
2022-12-15 15:00:00,21.95,41.08,17.92
2022-12-15 15:15:00,21.93,41.1,17.59
2022-12-15 15:30:00,22.03,40.79,13.74
2022-12-15 15:45:00,22.05,40.63,13.78
2022-12-15 16:00:00,22.09,40.43,11.61
2022-12-15 16:15:00,22.05,40.58,9.21
2022-12-15 16:30:00,22.07,42.94,12.78
2022-12-15 17:15:00,22.35,43.59,20.69
2022-12-15 17:30:00,22.43,42.55,16.2
2022-12-15 17:45:00,22.63,42.91,30.09
2022-12-15 18:00:00,22.67,42.37,15.65
2022-12-15 18:15:00,22.61,42.62,17.22
